group,product_a,product_b,price_corr,return_corr,beta_a_on_b,alpha_a_on_b,residual_mean,residual_std,residual_range,half_life_estimate,ratio_mean,ratio_std,observations
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,-0.20417300386254283,0.03723212837101273,-0.18601490905484896,11757.296633500457,-2.764863893389702e-12,128.27656584390317,708.3971501838732,501.06513680498296,1.0319163905511484,0.02234418215147528,10000
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.19653002750058174,0.011222308391655974,0.160586246369306,8344.929363068655,4.391768015921116e-12,128.481374523003,727.8322435503105,511.4404912307483,0.9899083956430966,0.018295919285747714,10000
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-0.20316292232268923,0.03356255605446982,-0.10886992757364286,11082.061041932911,5.042238626629114e-13,128.30410003469046,706.7521331479657,511.32427921489165,0.968161159182952,0.02865931537000992,10000
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9736817009269704,-0.919517560210088,-0.8085654218558642,18098.477714553905,2.69537849817425e-11,29.864896496964104,170.85993194964612,176.71138832902034,0.9902451649177232,0.02838485473852691,10000
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.434006759414817,-0.833559114670406,-0.3892480892920425,13573.341120130623,-3.818422555923462e-12,129.57622801195345,528.576208418539,1177.3318496805914,0.9596768943374551,0.024998344506602026,10000
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,-0.07176314772170399,0.9122649308951091,-0.04221001696502231,10090.174711098462,4.2462488636374474e-12,143.45738994779984,702.1575127237666,701.3307545171697,0.938423411116148,0.0274548594742731,10000
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,0.22123477056948435,0.026426496520756074,0.2016518010137911,7626.218478631001,-6.257323548197746e-12,140.2642418667111,708.5767427084756,677.5653229913224,0.9596221405391634,0.018253844159937367,10000
Protein Snack Packs,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,-0.7521796211444086,-0.9316060028661762,-0.49329375096574746,15143.493317883933,3.808236215263605e-12,105.67492217372761,593.2474157693778,787.5554046429622,0.9784600975822741,0.03715040558884295,10000
Protein Snack Packs,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,-0.1291940391726619,0.025301769801851167,-0.13129893436398773,11386.243142945956,5.8789737522602085e-12,159.02269195186122,920.7399113824249,543.7242659081617,1.0003798444377534,0.023616801467529848,10000
Protein Snack Packs,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,0.14188314747931857,0.013158147844727857,0.21986975276177764,8082.595084597456,-2.782326191663742e-12,242.05503018522342,1182.6824025249753,1095.5563017726336,1.0232020994388815,0.02721927319867456,10000
