group,avg_relative_volatility,avg_mean_spread,avg_trade_count,avg_total_trade_quantity,avg_abs_imbalance,max_price_corr,avg_abs_price_corr,best_residual_std,best_half_life,max_abs_lead_lag_corr,avg_abs_lead_lag_corr,pattern_score
Vertical Sleeping Pods,0.04280663038447508,9.16896,229.0,562.0,0.00012254944912841798,0.7643475805396097,0.5009001242657952,178.9238778059152,420.80840680154347,0.029833458442474065,0.01569945538776795,3.15897970131177
Purification Pebbles,0.0647486900500956,12.810399999999998,212.0,754.0,0.000250637037321215,0.8752367843295422,0.5215686442397016,272.16476377887176,460.900337004867,0.026153133039715115,0.01601775612219097,3.0197013021738375
Instant Translators,0.03147535664069908,8.74112,229.0,562.0,0.00012254944912841798,0.7772012285158955,0.4338517621190987,138.2990212625959,243.35351762911705,0.03424653157201218,0.016088789172575405,2.485862627324564
Liquid Breath Oxygen Shakes,0.040336220633917966,12.8034,229.0,562.0,7.953961347289499e-05,0.8716716378787497,0.3250896331178942,201.1974068942716,486.6622808832831,0.035775173833246826,0.015980032387580754,1.2516271839248119
Galaxy Sounds Recorders,0.041391864860414816,13.26136,229.0,562.0,7.953961347289499e-05,0.753701530835689,0.4403215436883413,192.81027069239323,438.6547342217736,0.023985963365905645,0.014036438704400061,-0.38578653022884923
UV-Visors,0.03959512917855246,13.039000000000001,229.0,562.0,7.953961347289499e-05,0.9089210632974275,0.42042277977785697,172.93935135413324,325.39885324163123,0.024781461140397813,0.014802527869466864,-0.6027600091477006
Protein Snack Packs,0.016682953510138182,16.74914,229.0,562.0,5.7759857978506906e-05,0.9736817009269704,0.3327809140115179,29.864896496964104,176.71138832902034,0.03574659547347374,0.016129385016060427,-1.1190527731879787
Domestic Robots,0.031188147481283818,7.20378,229.0,562.0,0.00015826201401241967,0.7651384230327594,0.27887437990485375,218.67332291214305,310.9243279963521,0.030354372136506807,0.01765131958989162,-1.2316612870700197
Construction Panels,0.03491390277519381,9.55634,229.0,562.0,0.00011394748199731338,0.6141301339467201,0.35074085813033695,189.85403792123347,444.25839793005036,0.02448242829511062,0.0170485583180636,-1.8200346313404296
Organic Microchips,0.03657369694273392,8.904779999999999,174.0,342.0,0.00015368435899146206,0.6085858583878889,0.28656072001431615,194.495856145362,310.84099990895436,0.02492242451503477,0.01603457550899044,-4.756875583760007
