product,rows,first_timestamp,last_timestamp,mean_mid,median_mid,std_mid,min_mid,max_mid,mean_spread,median_spread,max_spread,mean_bid_volume,mean_ask_volume,mean_imbalance,std_imbalance,return_std,diff_std,mean_pnl,trade_count,total_trade_quantity,avg_trade_price,trade_notional,vwap,price_range,relative_volatility,spread_to_volatility,group
PANEL_1X2,10000,0,999900,9231.60075,9120.0,429.9359271037696,8411.5,10203.0,11.8891,12.0,14,49.5741,49.567,7.953961347289499e-05,0.007369737657630777,0.0010168933632933343,9.4068389132976,0.0,229,562,9225.148471615721,5187395.0,9230.240213523131,1791.5,0.046572196821203476,1.2638783452742506,Construction Panels
PANEL_1X4,10000,0,999900,10022.35875,9889.5,430.49333110310204,9196.0,11226.0,8.8769,9.0,10,29.5557,29.5486,0.00012254944912841798,0.012024934864064585,0.0010105108576473189,10.146565782327361,0.0,229,562,10061.816593886462,5658067.0,10067.73487544484,2030.0,0.04295329491204873,0.8748674369668223,Construction Panels
PANEL_2X2,10000,0,999900,9806.89205,9819.5,207.56583962582948,9201.0,10325.5,8.7079,9.0,10,29.5557,29.5486,0.00012254944912841798,0.012024934864064585,0.0010054377122712017,9.862958798267297,0.0,229,562,9823.982532751092,5525851.0,9832.47508896797,1124.5,0.02116530278579231,0.882889219970156,Construction Panels
PANEL_2X4,10000,0,999900,10713.54065,10554.0,448.8084362774781,9982.5,11806.5,9.4145,10.0,11,29.5557,29.5486,0.00012254944912841798,0.012024934864064585,0.0009915100548027478,10.638481492816354,0.0,229,562,10671.021834061135,5996383.0,10669.720640569394,1824.0,0.0418917005068234,0.8849477255148822,Construction Panels
PANEL_4X4,10000,0,999900,10040.12135,10066.5,220.7523373797529,9528.5,10548.0,8.8933,9.0,10,29.5557,29.5486,0.00012254944912841798,0.012024934864064585,0.0010065989264359985,10.104430274704386,0.0,229,562,10039.017467248908,5641566.0,10038.373665480427,1019.5,0.02198701885010114,0.8801386875085524,Construction Panels
ROBOT_DISHES,10000,0,999900,9472.68405,9426.5,323.2623590149056,8855.0,10177.5,6.9537,7.0,8,16.0794,16.0723,0.00015826201401241967,0.02073137892667678,0.0010180557420554313,9.653311601141452,0.0,229,562,9463.930131004367,5325283.0,9475.592526690392,1322.5,0.03412574063577108,0.7203434725113155,Domestic Robots
ROBOT_IRONING,10000,0,999900,9354.291,9340.0,414.63397431019524,8630.0,10102.0,6.8526,6.0,8,16.0794,16.0723,0.00015826201401241967,0.02073137892667678,0.0012977060293481682,12.39788047401353,0.0,229,562,9350.550218340612,5259842.0,9359.149466192172,1472.0,0.04432553726521821,0.5527235090194113,Domestic Robots
ROBOT_LAUNDRY,10000,0,999900,10273.57455,10211.5,258.72470323590306,9741.5,10859.0,7.4533,8.0,8,16.0794,16.0723,0.00015826201401241967,0.02073137892667678,0.0010051694727832995,10.325187010115048,0.0,229,562,10254.161572052402,5760173.0,10249.418149466192,1117.5,0.025183513486637724,0.7218561748759019,Domestic Robots
ROBOT_MOPPING,10000,0,999900,10539.3132,10480.0,293.5241678285832,9801.5,11340.0,7.629,8.0,9,16.0794,16.0723,0.00015826201401241967,0.02073137892667678,0.0010001660458440358,10.543113117676338,0.0,229,562,10512.70305676856,5902713.0,10503.048042704626,1538.5,0.027850407541601778,0.7236003175579513,Domestic Robots
ROBOT_VACUUMING,10000,0,999900,9747.13565,9723.5,238.37145093096814,9136.5,10303.0,7.1303,7.0,8,16.0794,16.0723,0.00015826201401241967,0.02073137892667678,0.0010002648381593534,9.753372990552654,0.0,229,562,9732.794759825327,5471801.0,9736.300711743772,1166.5,0.024455538477190286,0.7310599119818935,Domestic Robots
GALAXY_SOUNDS_BLACK_HOLES,10000,0,999900,10680.49205,10602.5,558.2106741880272,9608.5,11791.5,13.6031,14.0,16,49.5741,49.567,7.953961347289499e-05,0.007369737657630777,0.0009911513959797562,10.597998056118318,0.0,229,562,10684.344978165938,6003079.0,10681.635231316726,2183.0,0.052264509123250286,1.283553736089507,Galaxy Sounds Recorders
