group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,3,-0.01810940693438554,0.01810940693438554
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,5,-0.009600425602581985,0.009600425602581985
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,4,0.021899822542511337,0.021899822542511337
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,5,0.019155243561043787,0.019155243561043787
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_CHOCOLATE,2,-0.01610804153883896,0.01610804153883896
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,1,-0.026303156826383046,0.026303156826383046
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,3,0.0089968666958717,0.0089968666958717
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,5,-0.018138068095215995,0.018138068095215995
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_CHOCOLATE,4,0.011910492480395477,0.011910492480395477
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,5,-0.024423369709560792,0.024423369709560792
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,3,-0.018436504747941774,0.018436504747941774
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,1,0.0191946475113735,0.0191946475113735
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,3,-0.014878294751758163,0.014878294751758163
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_EVENING_BREATH,5,-0.013965087558688702,0.013965087558688702
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,5,0.0051225341552954586,0.0051225341552954586
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,1,-0.018791039058186083,0.018791039058186083
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_CHOCOLATE,4,-0.012567753379199019,0.012567753379199019
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,1,-0.010634911625100454,0.010634911625100454
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,2,-0.024174385289674347,0.024174385289674347
Liquid Breath Oxygen Shakes,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,3,-0.02113080764699208,0.02113080764699208
