group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,4,-0.022671075979214868,0.022671075979214868
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_NYLON,4,0.017298778336701643,0.017298778336701643
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,1,0.013003992780453017,0.013003992780453017
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_SUEDE,3,0.0062827418207748046,0.0062827418207748046
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,1,0.021646579052350172,0.021646579052350172
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,2,0.009200466354993027,0.009200466354993027
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,4,0.015232910970090581,0.015232910970090581
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,5,0.010142662185753083,0.010142662185753083
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_COTTON,4,0.01975255648248554,0.01975255648248554
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,5,-0.017731079425112175,0.017731079425112175
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,3,0.013978531469264897,0.013978531469264897
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,2,0.013601954693969688,0.013601954693969688
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,4,0.014726300236603564,0.014726300236603564
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,1,-0.014255430896019227,0.014255430896019227
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,3,0.018234024840257563,0.018234024840257563
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,5,-0.010934514798299162,0.010934514798299162
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_COTTON,5,0.021120225888827563,0.021120225888827563
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,3,-0.01587062680886997,0.01587062680886997
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_NYLON,2,-0.006474795597697277,0.006474795597697277
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,4,0.009077963352045642,0.009077963352045642
