group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,3,0.02018571661913889,0.02018571661913889
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,5,0.008145248401826795,0.008145248401826795
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,5,0.012819349530786683,0.012819349530786683
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,3,0.013779797765816016,0.013779797765816016
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_ASTRO_BLACK,3,-0.03188868614525758,0.03188868614525758
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,5,-0.027594493510513126,0.027594493510513126
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,1,-0.03397249595198182,0.03397249595198182
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,3,-0.036905496977314906,0.036905496977314906
Instant Translators,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_ASTRO_BLACK,5,-0.012144424253671,0.012144424253671
Instant Translators,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_ECLIPSE_CHARCOAL,5,0.0058503731230042195,0.0058503731230042195
Instant Translators,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,2,-0.01872542117413209,0.01872542117413209
Instant Translators,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,1,-0.01098384041451084,0.01098384041451084
Instant Translators,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ASTRO_BLACK,3,0.01633333842704746,0.01633333842704746
Instant Translators,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL,4,0.025362015556887083,0.025362015556887083
Instant Translators,TRANSLATOR_SPACE_GRAY,TRANSLATOR_GRAPHITE_MIST,2,-0.01842233475055349,0.01842233475055349
Instant Translators,TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,5,0.005499170382218452,0.005499170382218452
Instant Translators,TRANSLATOR_VOID_BLUE,TRANSLATOR_ASTRO_BLACK,5,-0.023769469409888555,0.023769469409888555
Instant Translators,TRANSLATOR_VOID_BLUE,TRANSLATOR_ECLIPSE_CHARCOAL,2,-0.013125391076588408,0.013125391076588408
Instant Translators,TRANSLATOR_VOID_BLUE,TRANSLATOR_GRAPHITE_MIST,4,0.014404673751231558,0.014404673751231558
Instant Translators,TRANSLATOR_VOID_BLUE,TRANSLATOR_SPACE_GRAY,5,0.01727882746551941,0.01727882746551941
