group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
UV-Visors,UV_VISOR_AMBER,UV_VISOR_MAGENTA,3,-0.018247918989945332,0.018247918989945332
UV-Visors,UV_VISOR_AMBER,UV_VISOR_ORANGE,2,-0.012687310128057298,0.012687310128057298
UV-Visors,UV_VISOR_AMBER,UV_VISOR_RED,3,0.010191805266940067,0.010191805266940067
UV-Visors,UV_VISOR_AMBER,UV_VISOR_YELLOW,4,0.01243807986799501,0.01243807986799501
UV-Visors,UV_VISOR_MAGENTA,UV_VISOR_AMBER,3,-0.02113671106511506,0.02113671106511506
UV-Visors,UV_VISOR_MAGENTA,UV_VISOR_ORANGE,1,-0.017535115249290346,0.017535115249290346
UV-Visors,UV_VISOR_MAGENTA,UV_VISOR_RED,1,-0.01193772466043382,0.01193772466043382
UV-Visors,UV_VISOR_MAGENTA,UV_VISOR_YELLOW,1,0.00878504779223244,0.00878504779223244
UV-Visors,UV_VISOR_ORANGE,UV_VISOR_AMBER,5,-0.022467189687071742,0.022467189687071742
UV-Visors,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,3,-0.014959472291452594,0.014959472291452594
UV-Visors,UV_VISOR_ORANGE,UV_VISOR_RED,1,-0.016653936532175343,0.016653936532175343
UV-Visors,UV_VISOR_ORANGE,UV_VISOR_YELLOW,5,0.018198995731909823,0.018198995731909823
UV-Visors,UV_VISOR_RED,UV_VISOR_AMBER,4,-0.014276143219315222,0.014276143219315222
UV-Visors,UV_VISOR_RED,UV_VISOR_MAGENTA,5,0.023177002363505356,0.023177002363505356
UV-Visors,UV_VISOR_RED,UV_VISOR_ORANGE,2,-0.011783277570918568,0.011783277570918568
UV-Visors,UV_VISOR_RED,UV_VISOR_YELLOW,1,0.011982218748863798,0.011982218748863798
UV-Visors,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,0.025629141061614208,0.025629141061614208
UV-Visors,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,2,0.017898129302131086,0.017898129302131086
UV-Visors,UV_VISOR_YELLOW,UV_VISOR_ORANGE,3,0.02862431582560927,0.02862431582560927
UV-Visors,UV_VISOR_YELLOW,UV_VISOR_RED,2,0.017448471435127365,0.017448471435127365
