group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1,-0.013376837273764127,0.013376837273764127
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,3,-0.01795062739148014,0.01795062739148014
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,3,0.01615562815698236,0.01615562815698236
Protein Snack Packs,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,5,0.02043042299785067,0.02043042299785067
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,1,-0.007682790818354341,0.007682790818354341
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,5,-0.010663508860282963,0.010663508860282963
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,1,-0.018365219311470168,0.018365219311470168
Protein Snack Packs,SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,1,-0.020739768561408904,0.020739768561408904
Protein Snack Packs,SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,1,-0.015663104769004798,0.015663104769004798
Protein Snack Packs,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,4,0.01765685761397136,0.01765685761397136
Protein Snack Packs,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,4,0.01980926877491972,0.01980926877491972
Protein Snack Packs,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,1,-0.014034213725695438,0.014034213725695438
Protein Snack Packs,SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,1,-0.011707836294883768,0.011707836294883768
Protein Snack Packs,SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,4,-0.017108230182574687,0.017108230182574687
Protein Snack Packs,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,4,0.015428382020893826,0.015428382020893826
Protein Snack Packs,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,1,-0.009213594984823211,0.009213594984823211
Protein Snack Packs,SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,5,0.016034972509554195,0.016034972509554195
Protein Snack Packs,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,1,-0.020813063152497834,0.020813063152497834
Protein Snack Packs,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2,0.011737659730590561,0.011737659730590561
Protein Snack Packs,SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,1,-0.022459521043024993,0.022459521043024993
