group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,5,-0.015901997247825903,0.015901997247825903
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,5,0.01251235995478449,0.01251235995478449
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,2,-0.014311525934987565,0.014311525934987565
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,4,-0.012178326173896583,0.012178326173896583
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,3,0.009024597150313349,0.009024597150313349
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,3,0.016557377116473503,0.016557377116473503
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,1,0.013159890530135651,0.013159890530135651
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,1,0.02225461589334727,0.02225461589334727
Galaxy Sounds Recorders,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_BLACK_HOLES,5,0.010947763078840326,0.010947763078840326
Galaxy Sounds Recorders,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_DARK_MATTER,5,-0.009696536400358917,0.009696536400358917
Galaxy Sounds Recorders,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,1,0.018225613890981044,0.018225613890981044
Galaxy Sounds Recorders,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,4,-0.007965611081247808,0.007965611081247808
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,2,0.02118841095881672,0.02118841095881672
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_DARK_MATTER,2,-0.020308610552301758,0.020308610552301758
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_PLANETARY_RINGS,4,-0.01847935293602857,0.01847935293602857
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,5,-0.014841824605835292,0.014841824605835292
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES,1,-0.01042580783334037,0.01042580783334037
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_DARK_MATTER,3,-0.01958965114124945,0.01958965114124945
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_PLANETARY_RINGS,2,0.012490642758273662,0.012490642758273662
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,1,0.016088105221060415,0.016088105221060415
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,3,-0.01593538253550888,0.01593538253550888
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_NYLON,2,-0.020470569126576132,0.020470569126576132
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,5,-0.014510505728277492,0.014510505728277492
Vertical Sleeping Pods,SLEEP_POD_COTTON,SLEEP_POD_SUEDE,1,0.016348781209439202,0.016348781209439202
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,2,-0.006822935156053447,0.006822935156053447
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,3,-0.018603647812933964,0.018603647812933964
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,1,-0.014735350603352283,0.014735350603352283
Vertical Sleeping Pods,SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,2,0.017472082306355278,0.017472082306355278
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_COTTON,1,-0.013404419591561096,0.013404419591561096
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,4,0.011701181757355425,0.011701181757355425
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,5,0.015532211393974921,0.015532211393974921
Vertical Sleeping Pods,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,5,0.008089008983484625,0.008089008983484625
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,4,-0.012802164345003976,0.012802164345003976
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,5,-0.018573262204716577,0.018573262204716577
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,5,0.027075441475911014,0.027075441475911014
Vertical Sleeping Pods,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,4,-0.008141205046387458,0.008141205046387458
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_COTTON,5,-0.012435690784031233,0.012435690784031233
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,4,-0.016744410048068908,0.016744410048068908
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_NYLON,5,-0.0161857703507431,0.0161857703507431
Vertical Sleeping Pods,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,3,0.018979466327249766,0.018979466327249766
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_OVAL,5,0.029252429816593886,0.029252429816593886
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,5,-0.013640716620026734,0.013640716620026734
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,4,0.012259097735779894,0.012259097735779894
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,1,-0.016598961709094785,0.016598961709094785
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_CIRCLE,5,0.013978249261832885,0.013978249261832885
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,2,0.017529800890314102,0.017529800890314102
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_SQUARE,5,0.020097929242856184,0.020097929242856184
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1,-0.011110575553210718,0.011110575553210718
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,4,-0.011271047398688843,0.011271047398688843
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_OVAL,1,0.024028007226642258,0.024028007226642258
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,2,-0.014836377868131231,0.014836377868131231
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,5,-0.016496907868989264,0.016496907868989264
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_CIRCLE,3,0.02875150200628183,0.02875150200628183
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_OVAL,3,-0.01373732259648122,0.01373732259648122
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,5,0.006246468834611389,0.006246468834611389
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,5,-0.016768710229595543,0.016768710229595543
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,3,-0.013152579338202823,0.013152579338202823
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_OVAL,1,0.01679020933164504,0.01679020933164504
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_RECTANGLE,3,-0.006712468786354296,0.006712468786354296
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_SQUARE,3,0.014091425272568871,0.014091425272568871
Purification Pebbles,PEBBLES_L,PEBBLES_M,1,0.029488234367323226,0.029488234367323226
Purification Pebbles,PEBBLES_L,PEBBLES_S,2,-0.01682877253171945,0.01682877253171945
Purification Pebbles,PEBBLES_L,PEBBLES_XL,4,-0.028131993429250306,0.028131993429250306
Purification Pebbles,PEBBLES_L,PEBBLES_XS,4,0.023686069503395316,0.023686069503395316
Purification Pebbles,PEBBLES_M,PEBBLES_L,2,0.016766430571050487,0.016766430571050487
