day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,bid_volume_total,ask_volume_total,order_book_imbalance,mid_return,mid_diff,future_mid_diff_1,rolling_mean_50,rolling_std_50,z_score_50
4,0,GALAXY_SOUNDS_BLACK_HOLES,12129,20,12127.0,35.0,,,12145,20,12146.0,35.0,,,12137.0,0.0,16,55.0,55.0,0.0,,,-21.0,,,
4,100,GALAXY_SOUNDS_BLACK_HOLES,12108,13,12106.0,28.0,,,12124,13,12125.0,28.0,,,12116.0,0.0,16,41.0,41.0,0.0,-0.0017302463541237767,-21.0,-4.5,,,
4,200,GALAXY_SOUNDS_BLACK_HOLES,12104,19,12102.0,30.0,,,12119,19,12121.0,30.0,,,12111.5,0.0,15,49.0,49.0,0.0,-0.0003714097061736643,-4.5,6.5,,,
4,300,GALAXY_SOUNDS_BLACK_HOLES,12110,15,12109.0,35.0,,,12126,15,12128.0,35.0,,,12118.0,0.0,16,50.0,50.0,0.0,0.0005366800148618456,6.5,-0.5,,,
4,400,GALAXY_SOUNDS_BLACK_HOLES,12110,21,12108.0,32.0,,,12125,21,12127.0,32.0,,,12117.5,0.0,15,53.0,53.0,0.0,-4.126093414758003e-05,-0.5,13.0,,,
4,500,GALAXY_SOUNDS_BLACK_HOLES,12123,17,12121.0,35.0,,,12138,17,12140.0,35.0,,,12130.5,0.0,15,52.0,52.0,0.0,0.0010728285537446869,13.0,-30.0,,,
4,600,GALAXY_SOUNDS_BLACK_HOLES,12093,19,12091.0,35.0,,,12108,19,12110.0,35.0,,,12100.5,0.0,15,54.0,54.0,0.0,-0.002473104983306551,-30.0,-18.0,,,
4,700,GALAXY_SOUNDS_BLACK_HOLES,12075,18,12073.0,33.0,,,12090,18,12092.0,33.0,,,12082.5,0.0,15,51.0,51.0,0.0,-0.0014875418371141924,-18.0,-19.0,,,
4,800,GALAXY_SOUNDS_BLACK_HOLES,12056,17,12054.0,33.0,,,12071,17,12073.0,33.0,,,12063.5,0.0,15,50.0,50.0,0.0,-0.0015725222429132657,-19.0,-21.5,,,
4,900,GALAXY_SOUNDS_BLACK_HOLES,12034,19,12033.0,33.0,,,12050,19,12052.0,33.0,,,12042.0,0.0,16,52.0,52.0,0.0,-0.0017822356695817998,-21.5,-19.5,12101.9,30.33955980051259,-1.974320009711796
4,1000,GALAXY_SOUNDS_BLACK_HOLES,12015,12,12013.0,34.0,,,12030,12,12032.0,34.0,,,12022.5,0.0,15,46.0,46.0,0.0,-0.0016193323368211,-19.5,-18.5,12094.681818181818,37.437463006507585,-1.9280638265811703
4,1100,GALAXY_SOUNDS_BLACK_HOLES,11996,23,11995.0,29.0,,,12012,23,12014.0,29.0,,,12004.0,0.0,16,52.0,52.0,0.0,-0.0015387814514452591,-18.5,11.0,12087.125,44.2652772805871,-1.877882735786118
