product,imbalance_vs_next_mid_diff_corr
GALAXY_SOUNDS_BLACK_HOLES,-0.061935152893126955
GALAXY_SOUNDS_DARK_MATTER,-0.04131385823634935
GALAXY_SOUNDS_PLANETARY_RINGS,-0.062067183736965584
GALAXY_SOUNDS_SOLAR_FLAMES,-0.04403704589179068
GALAXY_SOUNDS_SOLAR_WINDS,-0.07711623258585946
MICROCHIP_CIRCLE,-0.037550503686737256
MICROCHIP_OVAL,-0.03363636854099352
MICROCHIP_RECTANGLE,-0.014511831703095383
MICROCHIP_SQUARE,-0.03556620214396507
MICROCHIP_TRIANGLE,-0.0431068806118358
OXYGEN_SHAKE_CHOCOLATE,-0.05158353708992652
OXYGEN_SHAKE_EVENING_BREATH,-0.05171359346147192
OXYGEN_SHAKE_GARLIC,-0.06538846161535022
OXYGEN_SHAKE_MINT,-0.04048832997516114
OXYGEN_SHAKE_MORNING_BREATH,-0.0687746586125576
PANEL_1X2,-0.04827789264722142
PANEL_1X4,-0.02849564037716785
PANEL_2X2,-0.018806065868514663
PANEL_2X4,-0.04236333056007337
PANEL_4X4,-0.019827825081364006
PEBBLES_L,-0.028547901589242627
PEBBLES_M,-0.031555799279439634
PEBBLES_S,-0.02789256746282119
PEBBLES_XL,-0.023693375447823118
PEBBLES_XS,-0.03911765921289922
ROBOT_DISHES,-0.0207316211391052
ROBOT_IRONING,-0.026024054381313482
ROBOT_LAUNDRY,-0.02206339547699808
ROBOT_MOPPING,-0.019578091440503785
ROBOT_VACUUMING,-0.03268710553668846
SLEEP_POD_COTTON,-0.05181393975236131
SLEEP_POD_LAMB_WOOL,-0.048883864148262256
SLEEP_POD_NYLON,-0.047735327321175455
SLEEP_POD_POLYESTER,-0.037612507364759254
SLEEP_POD_SUEDE,-0.044342126341336975
SNACKPACK_CHOCOLATE,-0.13252248532389735
SNACKPACK_PISTACHIO,-0.13880191509553474
SNACKPACK_RASPBERRY,-0.08887307685559298
SNACKPACK_STRAWBERRY,-0.10966175266412766
SNACKPACK_VANILLA,-0.10044602564182656
TRANSLATOR_ASTRO_BLACK,-0.05092527145769436
TRANSLATOR_ECLIPSE_CHARCOAL,-0.03396792810891796
TRANSLATOR_GRAPHITE_MIST,-0.04759645910135595
TRANSLATOR_SPACE_GRAY,-0.059477140207013536
TRANSLATOR_VOID_BLUE,-0.04167473288425362
UV_VISOR_AMBER,-0.0584310885965192
UV_VISOR_MAGENTA,-0.05874657514760326
UV_VISOR_ORANGE,-0.05533068344536565
UV_VISOR_RED,-0.050624828994146706
UV_VISOR_YELLOW,-0.05747748801073885
