day,timestamp,total_pnl,total_abs_pos,pos_HYDROGEL_PACK,pnl_HYDROGEL_PACK,pos_VELVETFRUIT_EXTRACT,pnl_VELVETFRUIT_EXTRACT,pos_VEV_4000,pnl_VEV_4000,pos_VEV_4500,pnl_VEV_4500,pos_VEV_5000,pnl_VEV_5000,pos_VEV_5100,pnl_VEV_5100,pos_VEV_5200,pnl_VEV_5200,pos_VEV_5300,pnl_VEV_5300,pos_VEV_5400,pnl_VEV_5400,pos_VEV_5500,pnl_VEV_5500,pos_VEV_6000,pnl_VEV_6000,pos_VEV_6500,pnl_VEV_6500
1,0,-22.5,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-5,-10.0,-5,-7.5,-5,-5.0,0,0.0,0,0.0,0,0.0,0,0.0
1,100,-55.0,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10,-25.0,-10,-20.0,-10,-10.0,0,0.0,0,0.0,0,0.0,0,0.0
1,200,-67.5,40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10,-25.0,-15,-27.5,-15,-15.0,0,0.0,0,0.0,0,0.0,0,0.0
1,300,-120.0,50,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10,-35.0,-20,-50.0,-20,-35.0,0,0.0,0,0.0,0,0.0,0,0.0
1,400,-132.5,60,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10,-35.0,-25,-57.5,-25,-40.0,0,0.0,0,0.0,0,0.0,0,0.0
1,500,-130.0,70,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10,-35.0,-30,-50.0,-30,-45.0,0,0.0,0,0.0,0,0.0,0,0.0
1,600,-135.0,85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15,-42.5,-35,-42.5,-35,-50.0,0,0.0,0,0.0,0,0.0,0,0.0
1,700,-62.5,95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15,-27.5,-40,-15.0,-40,-20.0,0,0.0,0,0.0,0,0.0,0,0.0
1,800,-92.5,105,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15,-27.5,-45,-40.0,-45,-25.0,0,0.0,0,0.0,0,0.0,0,0.0
1,900,-82.5,115,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15,-27.5,-50,-25.0,-50,-30.0,0,0.0,0,0.0,0,0.0,0,0.0
