timestamp,cash,inventory_value,total_pnl,pos_EMERALDS,mid_EMERALDS,pos_TOMATOES,mid_TOMATOES
0,0.0,0.0,0.0,0,10000.0,0,5006.0
100,0.0,0.0,0.0,0,10000.0,0,5006.5
200,0.0,0.0,0.0,0,10000.0,0,5006.5
300,0.0,0.0,0.0,0,10000.0,0,5007.0
400,0.0,0.0,0.0,0,10000.0,0,5007.0
500,0.0,0.0,0.0,0,10000.0,0,5007.0
600,0.0,0.0,0.0,0,10000.0,0,5009.5
700,0.0,0.0,0.0,0,10000.0,0,5007.0
800,0.0,0.0,0.0,0,10000.0,0,5006.5
900,0.0,0.0,0.0,0,10000.0,0,5006.5
1000,0.0,0.0,0.0,0,10000.0,0,5007.0
1100,0.0,0.0,0.0,0,10000.0,0,5010.0
1200,0.0,0.0,0.0,0,10000.0,0,5007.0
1300,0.0,0.0,0.0,0,10000.0,0,5007.5
1400,0.0,0.0,0.0,0,10000.0,0,5007.0
1500,0.0,0.0,0.0,0,10000.0,0,5011.0
1600,0.0,0.0,0.0,0,10000.0,0,5007.5
1700,0.0,0.0,0.0,0,10000.0,0,5007.0
1800,0.0,0.0,0.0,0,10000.0,0,5006.5
1900,0.0,0.0,0.0,0,10000.0,0,5006.5
2000,0.0,0.0,0.0,0,10000.0,0,5006.0
2100,0.0,0.0,0.0,0,10000.0,0,5005.5
2200,0.0,0.0,0.0,0,10000.0,0,5004.0
2300,0.0,0.0,0.0,0,10000.0,0,5003.5
2400,0.0,0.0,0.0,0,10000.0,0,5003.0
2500,0.0,0.0,0.0,0,10000.0,0,5002.5
2600,0.0,0.0,0.0,0,10000.0,0,5002.5
2700,0.0,0.0,0.0,0,10000.0,0,5003.5
2800,0.0,0.0,0.0,0,9996.0,0,5004.0
2900,0.0,0.0,0.0,0,10000.0,0,5004.0
3000,0.0,0.0,0.0,0,10000.0,0,5003.0
3100,0.0,0.0,0.0,0,10000.0,0,5003.0
3200,-79944.0,80000.0,56.0,8,10000.0,0,5002.5
3300,-79944.0,80000.0,56.0,8,10000.0,0,5003.0
3400,-69928.0,69995.0,67.0,8,10000.0,-2,5002.5
3500,-69928.0,69997.0,69.0,8,10000.0,-2,5001.5
3600,-69928.0,69997.0,69.0,8,10000.0,-2,5001.5
3700,-69928.0,69997.0,69.0,8,10000.0,-2,5001.5
3800,-69928.0,69998.0,70.0,8,10000.0,-2,5001.0
3900,-69928.0,69996.0,68.0,8,10000.0,-2,5002.0
4000,-69928.0,69995.0,67.0,8,10000.0,-2,5002.5
4100,-69928.0,69995.0,67.0,8,10000.0,-2,5002.5
4200,20072.0,-20009.0,63.0,-1,10004.0,-2,5002.5
4300,20072.0,-19997.0,75.0,-1,10000.0,-2,4998.5
4400,20072.0,-20003.0,69.0,-1,10000.0,-2,5001.5
4500,20072.0,-20004.0,68.0,-1,10000.0,-2,5002.0
4600,20072.0,-20004.0,68.0,-1,10000.0,-2,5002.0
4700,20072.0,-20004.0,68.0,-1,10000.0,-2,5002.0
4800,20072.0,-20004.0,68.0,-1,10000.0,-2,5002.0
4900,20072.0,-20004.0,68.0,-1,10000.0,-2,5002.0
5000,-139879.0,139935.0,56.0,15,9996.0,-2,5002.5
5100,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
5200,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
5300,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
5400,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
5500,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
5600,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
5700,-139879.0,139988.0,109.0,15,10000.0,-2,5006.0
5800,-139879.0,139997.0,118.0,15,10000.0,-2,5001.5
5900,-139879.0,139997.0,118.0,15,10000.0,-2,5001.5
6000,-139879.0,139996.0,117.0,15,10000.0,-2,5002.0
6100,-139879.0,139996.0,117.0,15,10000.0,-2,5002.0
6200,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
6300,-139879.0,139996.0,117.0,15,10000.0,-2,5002.0
6400,-139879.0,139996.0,117.0,15,10000.0,-2,5002.0
6500,-139879.0,139996.0,117.0,15,10000.0,-2,5002.0
6600,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
6700,-139879.0,139995.0,116.0,15,10000.0,-2,5002.5
6800,-139879.0,139993.0,114.0,15,10000.0,-2,5003.5
6900,-139879.0,139994.0,115.0,15,10000.0,-2,5003.0
7000,-119843.0,119979.0,136.0,15,10000.0,-6,5003.5
7100,-119843.0,119973.0,130.0,15,10000.0,-6,5004.5
7200,-119843.0,119976.0,133.0,15,10000.0,-6,5004.0
7300,-119843.0,119976.0,133.0,15,10000.0,-6,5004.0
7400,-119843.0,119976.0,133.0,15,10000.0,-6,5004.0
7500,-119843.0,119973.0,130.0,15,10000.0,-6,5004.5
7600,-119843.0,119970.0,127.0,15,10000.0,-6,5005.0
7700,-119843.0,119970.0,127.0,15,10000.0,-6,5005.0
7800,-119843.0,119973.0,130.0,15,10000.0,-6,5004.5
7900,-119843.0,119967.0,124.0,15,10000.0,-6,5005.5
8000,-119843.0,119967.0,124.0,15,10000.0,-6,5005.5
8100,-119843.0,119964.0,121.0,15,10000.0,-6,5006.0
8200,-119843.0,119964.0,121.0,15,10000.0,-6,5006.0
8300,-119843.0,119964.0,121.0,15,10000.0,-6,5006.0
