day,timestamp,cash,inventory_value,total_pnl,conversions,position_ASH_COATED_OSMIUM,mid_ASH_COATED_OSMIUM,mtm_ASH_COATED_OSMIUM,cash_ASH_COATED_OSMIUM,pnl_ASH_COATED_OSMIUM,position_INTARIAN_PEPPER_ROOT,mid_INTARIAN_PEPPER_ROOT,mtm_INTARIAN_PEPPER_ROOT,cash_INTARIAN_PEPPER_ROOT,pnl_INTARIAN_PEPPER_ROOT,global_time
-2,0,-260181.0,259961.0,-220.0,0,0,10010.0,0.0,0.0,0.0,26,9998.5,259961.0,-260181.0,-220.0,0
-2,100,-530375.0,530026.5,-348.5,0,0,10000.0,0.0,0.0,0.0,53,10000.5,530026.5,-530375.0,-348.5,100
-2,200,-730535.0,730109.5,-425.5,0,0,10000.0,0.0,0.0,0.0,73,10001.5,730109.5,-730535.0,-425.5,200
-2,300,-800577.0,800480.0,-97.0,0,0,10000.0,0.0,0.0,0.0,80,10006.0,800480.0,-800577.0,-97.0,300
-2,400,-800577.0,799920.0,-657.0,0,0,10000.0,0.0,0.0,0.0,80,9999.0,799920.0,-800577.0,-657.0,400
-2,500,-800577.0,800040.0,-537.0,0,0,10000.0,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0,500
-2,600,-800577.0,800160.0,-417.0,0,0,9999.5,0.0,0.0,0.0,80,10002.0,800160.0,-800577.0,-417.0,600
-2,700,-800577.0,800040.0,-537.0,0,0,10000.5,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0,700
-2,800,-800577.0,799960.0,-617.0,0,0,10002.0,0.0,0.0,0.0,80,9999.5,799960.0,-800577.0,-617.0,800
-2,900,-880561.0,880004.0,-557.0,0,8,9995.5,79964.0,-79984.0,-20.0,80,10000.5,800040.0,-800577.0,-537.0,900
-2,1000,-880561.0,880036.0,-525.0,0,8,9999.5,79996.0,-79984.0,12.0,80,10000.5,800040.0,-800577.0,-537.0,1000
-2,1100,-880561.0,880248.0,-313.0,0,8,10001.0,80008.0,-79984.0,24.0,80,10003.0,800240.0,-800577.0,-337.0,1100
