day,timestamp,cash,inventory_value,total_pnl,conversions,position_ASH_COATED_OSMIUM,mid_ASH_COATED_OSMIUM,mtm_ASH_COATED_OSMIUM,cash_ASH_COATED_OSMIUM,pnl_ASH_COATED_OSMIUM,position_INTARIAN_PEPPER_ROOT,mid_INTARIAN_PEPPER_ROOT,mtm_INTARIAN_PEPPER_ROOT,cash_INTARIAN_PEPPER_ROOT,pnl_INTARIAN_PEPPER_ROOT
-2,0,-260181.0,259961.0,-220.0,0,0,10010.0,0.0,0.0,0.0,26,9998.5,259961.0,-260181.0,-220.0
-2,100,-530375.0,530026.5,-348.5,0,0,10000.0,0.0,0.0,0.0,53,10000.5,530026.5,-530375.0,-348.5
-2,200,-730535.0,730109.5,-425.5,0,0,10000.0,0.0,0.0,0.0,73,10001.5,730109.5,-730535.0,-425.5
-2,300,-800577.0,800480.0,-97.0,0,0,10000.0,0.0,0.0,0.0,80,10006.0,800480.0,-800577.0,-97.0
-2,400,-800577.0,799920.0,-657.0,0,0,10000.0,0.0,0.0,0.0,80,9999.0,799920.0,-800577.0,-657.0
-2,500,-800577.0,800040.0,-537.0,0,0,10000.0,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0
-2,600,-800577.0,800160.0,-417.0,0,0,9999.5,0.0,0.0,0.0,80,10002.0,800160.0,-800577.0,-417.0
-2,700,-800577.0,800040.0,-537.0,0,0,10000.5,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0
-2,800,-800577.0,799960.0,-617.0,0,0,10002.0,0.0,0.0,0.0,80,9999.5,799960.0,-800577.0,-617.0
-2,900,-800577.0,800040.0,-537.0,0,0,9995.5,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0
-2,1000,-800577.0,800040.0,-537.0,0,0,9999.5,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0
-2,1100,-800577.0,800240.0,-337.0,0,0,10001.0,0.0,0.0,0.0,80,10003.0,800240.0,-800577.0,-337.0
-2,1200,-800577.0,800000.0,-577.0,0,0,10009.0,0.0,0.0,0.0,80,10000.0,800000.0,-800577.0,-577.0
-2,1300,-800577.0,800120.0,-457.0,0,0,10002.5,0.0,0.0,0.0,80,10001.5,800120.0,-800577.0,-457.0
-2,1400,-800577.0,800120.0,-457.0,0,0,10001.0,0.0,0.0,0.0,80,10001.5,800120.0,-800577.0,-457.0
-2,1500,-800577.0,800120.0,-457.0,0,0,10002.0,0.0,0.0,0.0,80,10001.5,800120.0,-800577.0,-457.0
-2,1600,-800577.0,800040.0,-537.0,0,0,9994.0,0.0,0.0,0.0,80,10000.5,800040.0,-800577.0,-537.0
-2,1700,-800577.0,800120.0,-457.0,0,0,10004.5,0.0,0.0,0.0,80,10001.5,800120.0,-800577.0,-457.0
-2,1800,-800577.0,800120.0,-457.0,0,0,10002.0,0.0,0.0,0.0,80,10001.5,800120.0,-800577.0,-457.0
-2,1900,-800577.0,800240.0,-337.0,0,0,10002.0,0.0,0.0,0.0,80,10003.0,800240.0,-800577.0,-337.0
-2,2000,-800577.0,800080.0,-497.0,0,0,10000.5,0.0,0.0,0.0,80,10001.0,800080.0,-800577.0,-497.0
-2,2100,-800577.0,800280.0,-297.0,0,0,10002.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,2200,-800577.0,800080.0,-497.0,0,0,10002.0,0.0,0.0,0.0,80,10001.0,800080.0,-800577.0,-497.0
-2,2300,-800577.0,800080.0,-497.0,0,0,10005.5,0.0,0.0,0.0,80,10001.0,800080.0,-800577.0,-497.0
-2,2400,-800577.0,800200.0,-377.0,0,0,10001.5,0.0,0.0,0.0,80,10002.5,800200.0,-800577.0,-377.0
-2,2500,-800577.0,800200.0,-377.0,0,0,10001.5,0.0,0.0,0.0,80,10002.5,800200.0,-800577.0,-377.0
-2,2600,-800577.0,800120.0,-457.0,0,0,10003.0,0.0,0.0,0.0,80,10001.5,800120.0,-800577.0,-457.0
-2,2700,-800577.0,800320.0,-257.0,0,0,10004.0,0.0,0.0,0.0,80,10004.0,800320.0,-800577.0,-257.0
-2,2800,-800577.0,800200.0,-377.0,0,0,10003.0,0.0,0.0,0.0,80,10002.5,800200.0,-800577.0,-377.0
-2,2900,-800577.0,800200.0,-377.0,0,0,10003.0,0.0,0.0,0.0,80,10002.5,800200.0,-800577.0,-377.0
-2,3000,-800577.0,800240.0,-337.0,0,0,10002.0,0.0,0.0,0.0,80,10003.0,800240.0,-800577.0,-337.0
-2,3100,-800577.0,800360.0,-217.0,0,0,10004.0,0.0,0.0,0.0,80,10004.5,800360.0,-800577.0,-217.0
-2,3200,-800577.0,800240.0,-337.0,0,0,10005.0,0.0,0.0,0.0,80,10003.0,800240.0,-800577.0,-337.0
-2,3300,-800577.0,800280.0,-297.0,0,0,10004.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,3400,-800577.0,800280.0,-297.0,0,0,10004.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,3500,-800577.0,800400.0,-177.0,0,0,10002.5,0.0,0.0,0.0,80,10005.0,800400.0,-800577.0,-177.0
-2,3600,-800577.0,800280.0,-297.0,0,0,10004.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,3700,-800577.0,800280.0,-297.0,0,0,10002.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,3800,-800577.0,800400.0,-177.0,0,0,10003.0,0.0,0.0,0.0,80,10005.0,800400.0,-800577.0,-177.0
-2,3900,-800577.0,800280.0,-297.0,0,0,10003.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,4000,-800577.0,800680.0,103.0,0,0,10004.0,0.0,0.0,0.0,80,10008.5,800680.0,-800577.0,103.0
-2,4100,-800577.0,799920.0,-657.0,0,0,10003.5,0.0,0.0,0.0,80,9999.0,799920.0,-800577.0,-657.0
-2,4200,-800577.0,800320.0,-257.0,0,0,10004.5,0.0,0.0,0.0,80,10004.0,800320.0,-800577.0,-257.0
-2,4300,-800577.0,800800.0,223.0,0,0,10006.0,0.0,0.0,0.0,80,10010.0,800800.0,-800577.0,223.0
-2,4400,-800577.0,800240.0,-337.0,0,0,10006.0,0.0,0.0,0.0,80,10003.0,800240.0,-800577.0,-337.0
-2,4500,-800577.0,800360.0,-217.0,0,0,10005.0,0.0,0.0,0.0,80,10004.5,800360.0,-800577.0,-217.0
-2,4600,-800577.0,800360.0,-217.0,0,0,10006.5,0.0,0.0,0.0,80,10004.5,800360.0,-800577.0,-217.0
-2,4700,-800577.0,800480.0,-97.0,0,0,10013.0,0.0,0.0,0.0,80,10006.0,800480.0,-800577.0,-97.0
-2,4800,-800577.0,800360.0,-217.0,0,0,10001.0,0.0,0.0,0.0,80,10004.5,800360.0,-800577.0,-217.0
-2,4900,-800577.0,800280.0,-297.0,0,0,10005.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,5000,-800577.0,800400.0,-177.0,0,0,10005.0,0.0,0.0,0.0,80,10005.0,800400.0,-800577.0,-177.0
-2,5100,-800577.0,800280.0,-297.0,0,0,10005.0,0.0,0.0,0.0,80,10003.5,800280.0,-800577.0,-297.0
-2,5200,-800577.0,800080.0,-497.0,0,0,10003.5,0.0,0.0,0.0,80,10001.0,800080.0,-800577.0,-497.0
-2,5300,-800577.0,800440.0,-137.0,0,0,10007.0,0.0,0.0,0.0,80,10005.5,800440.0,-800577.0,-137.0
-2,5400,-800577.0,800440.0,-137.0,0,0,10003.5,0.0,0.0,0.0,80,10005.5,800440.0,-800577.0,-137.0
-2,5500,-800577.0,800320.0,-257.0,0,0,10004.0,0.0,0.0,0.0,80,10004.0,800320.0,-800577.0,-257.0
-2,5600,-800577.0,800440.0,-137.0,0,0,9996.0,0.0,0.0,0.0,80,10005.5,800440.0,-800577.0,-137.0
-2,5700,-800577.0,800440.0,-137.0,0,0,10004.0,0.0,0.0,0.0,80,10005.5,800440.0,-800577.0,-137.0
-2,5800,-800577.0,800000.0,-577.0,0,0,10006.5,0.0,0.0,0.0,80,10000.0,800000.0,-800577.0,-577.0
-2,5900,-800577.0,800440.0,-137.0,0,0,10005.5,0.0,0.0,0.0,80,10005.5,800440.0,-800577.0,-137.0
-2,6000,-800577.0,800400.0,-177.0,0,0,10001.0,0.0,0.0,0.0,80,10005.0,800400.0,-800577.0,-177.0
-2,6100,-800577.0,800520.0,-57.0,0,0,10005.0,0.0,0.0,0.0,80,10006.5,800520.0,-800577.0,-57.0
-2,6200,-800577.0,800520.0,-57.0,0,0,10005.0,0.0,0.0,0.0,80,10006.5,800520.0,-800577.0,-57.0
