,day,timestamp,symbol,price,quantity,bid_price_1,ask_price_1,mid_price,trade_side,trade_minus_mid
0,-2,900,TOMATOES,5008.0,2,4994,5008,5001.0,buy_initiated,7.0
1,-2,1700,TOMATOES,5006.0,3,4993,5006,4999.5,buy_initiated,6.5
4,-2,4000,EMERALDS,10008.0,7,9992,10008,10000.0,buy_initiated,8.0
5,-2,4100,TOMATOES,5002.0,3,4989,5002,4995.5,buy_initiated,6.5
7,-2,5200,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
8,-2,6700,TOMATOES,4988.0,5,4988,5001,4994.5,sell_initiated,-6.5
10,-2,7100,TOMATOES,5000.0,3,4987,5000,4993.5,buy_initiated,6.5
13,-2,10500,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
14,-2,11200,TOMATOES,4985.0,4,4985,4998,4991.5,sell_initiated,-6.5
15,-2,11300,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
16,-2,12700,TOMATOES,4999.0,2,4986,4999,4992.5,buy_initiated,6.5
17,-2,13600,TOMATOES,4991.0,2,4991,4999,4995.0,sell_initiated,-4.0
18,-2,14100,TOMATOES,4998.0,2,4985,4998,4991.5,buy_initiated,6.5
20,-2,17100,TOMATOES,4986.0,4,4986,5000,4993.0,sell_initiated,-7.0
21,-2,17800,TOMATOES,4986.0,5,4986,4999,4992.5,sell_initiated,-6.5
23,-2,18000,TOMATOES,4990.0,3,4990,4999,4994.5,sell_initiated,-4.5
25,-2,22800,EMERALDS,10000.0,6,10000,10008,10004.0,sell_initiated,-4.0
27,-2,24000,TOMATOES,5001.0,5,4987,5001,4994.0,buy_initiated,7.0
30,-2,27300,TOMATOES,4988.0,5,4988,5001,4994.5,sell_initiated,-6.5
32,-2,32700,TOMATOES,5004.0,3,4990,5004,4997.0,buy_initiated,7.0
34,-2,35600,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
37,-2,38300,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
38,-2,38800,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
39,-2,39000,TOMATOES,5005.0,5,4991,5005,4998.0,buy_initiated,7.0
42,-2,41700,TOMATOES,4989.0,2,4989,5002,4995.5,sell_initiated,-6.5
43,-2,42100,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
